BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address,State,County
11803,11794,21828,0,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),17.54650402,2.404468305,19,42.271105,-83.73451,"908 Church St, Ann Arbor, MI 48104, USA",Michigan,Washtenaw County
10067,0,5528,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),18.04798877,0.602079285,21,42.47487,-71.14927,"221 Main St, Woburn, MA 01801, USA",Massachusetts,Middlesex County
11780,11778,24943,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),15.22138354,2.771266192,28,42.92366887,-77.31232452,"Historic District, 5450 Campus Dr, Canandaigua, NY 14424, USA",,
9815,0,2779,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),3.924552511,0.295675545,29,40.28079562,-74.55414486,"210 Princeton Hightstown Rd, East Windsor, NJ 08520, USA",New Jersey,Mercer County
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,31,37.49034602,-121.932559,"1055 Mission Ct, Fremont, CA 94539, USA",California,Alameda County
10067,0,5528,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),18.04798877,0.602079285,35,42.53155238,-71.14668975,"1 Analog Wy, Wilmington, MA 01887, USA",Massachusetts,Middlesex County
11776,11605,80217,0,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),26.58432265,9.178726593,37,45.59901064,-122.4520524,"4200 NW Pacific Rim Blvd, Camas, WA 98607, USA",Washington,Clark County
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,38,37.42796098,-121.893751,"275 S Hillview Dr, Milpitas, CA 95035, USA",California,Santa Clara County
11673,11605,29318,0,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),12.84300156,3.33011951,39,45.548035,-122.930715,"3133 NE Brookwood Pkwy, Hillsboro, OR 97124, USA",Oregon,Washington County
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,40,37.40991701,-121.947666,"3725 N First St, San Jose, CA 95134, USA",California,Santa Clara County
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,41,37.37892199,-121.971864,"3250 Scott Blvd, Santa Clara, CA 95054, USA",California,Santa Clara County
10768,0,10386,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),5.675931607,0.971609493,43,29.64383901,-95.56869201,"12200 Parc Crest Dr #200, Stafford, TX 77477, USA",,
