points_id,latitude,longitude,formatted address,zip code,state,county,major_basin_name,minor_basin_name,pfaf_id,bws_cat1,bwd_cat1,iav_cat1,sev_cat1,gtd_cat1,rfr_cat1,cfr_cat1,drr_cat1,ucw_cat1,cep_cat1,udw_cat1,usa_cat1,rri_cat1,w_awr_def_qan_cat1,w_awr_def_qal_cat1,w_awr_def_rrr_cat1,w_awr_def_tot_cat1,w_awr_agr_qan_cat1,w_awr_agr_qal_cat1,w_awr_agr_rrr_cat1,w_awr_agr_tot_cat1,w_awr_che_qan_cat1,w_awr_che_qal_cat1,w_awr_che_rrr_cat1,w_awr_che_tot_cat1,w_awr_con_qan_cat1,w_awr_con_qal_cat1,w_awr_con_rrr_cat1,w_awr_con_tot_cat1,w_awr_elp_qan_cat1,w_awr_elp_qal_cat1,w_awr_elp_rrr_cat1,w_awr_elp_tot_cat1,w_awr_fnb_qan_cat1,w_awr_fnb_qal_cat1,w_awr_fnb_rrr_cat1,w_awr_fnb_tot_cat1,w_awr_min_qan_cat1,w_awr_min_qal_cat1,w_awr_min_rrr_cat1,w_awr_min_tot_cat1,w_awr_ong_qan_cat1,w_awr_ong_qal_cat1,w_awr_ong_rrr_cat1,w_awr_ong_tot_cat1,w_awr_smc_qan_cat1,w_awr_smc_qal_cat1,w_awr_smc_rrr_cat1,w_awr_smc_tot_cat1,w_awr_tex_qan_cat1,w_awr_tex_qal_cat1,w_awr_tex_rrr_cat1,w_awr_tex_tot_cat1,bws_cat,bwd_cat,iav_cat,sev_cat,gtd_cat,rfr_cat,cfr_cat,drr_cat,ucw_cat,cep_cat,udw_cat,usa_cat,rri_cat,w_awr_def_qan_cat,w_awr_def_qal_cat,w_awr_def_rrr_cat,w_awr_def_tot_cat,w_awr_agr_qan_cat,w_awr_agr_qal_cat,w_awr_agr_rrr_cat,w_awr_agr_tot_cat,w_awr_che_qan_cat,w_awr_che_qal_cat,w_awr_che_rrr_cat,w_awr_che_tot_cat,w_awr_con_qan_cat,w_awr_con_qal_cat,w_awr_con_rrr_cat,w_awr_con_tot_cat,w_awr_elp_qan_cat,w_awr_elp_qal_cat,w_awr_elp_rrr_cat,w_awr_elp_tot_cat,w_awr_fnb_qan_cat,w_awr_fnb_qal_cat,w_awr_fnb_rrr_cat,w_awr_fnb_tot_cat,w_awr_min_qan_cat,w_awr_min_qal_cat,w_awr_min_rrr_cat,w_awr_min_tot_cat,w_awr_ong_qan_cat,w_awr_ong_qal_cat,w_awr_ong_rrr_cat,w_awr_ong_tot_cat,w_awr_smc_qan_cat,w_awr_smc_qal_cat,w_awr_smc_rrr_cat,w_awr_smc_tot_cat,w_awr_tex_qan_cat,w_awr_tex_qal_cat,w_awr_tex_rrr_cat,w_awr_tex_tot_cat
0,42.271105,-83.73451,"908 Church St, Ann Arbor, MI 48104, USA",48104,MI,Washtenaw County,St Lawrence,Huron,725572,3,1,1,0,-9999,1,0,2,0,3,0,0,0,3,1,1,1,3,2,1,2,2,0,1,1,3,1,1,1,2,2,1,1,3,1,1,2,2,1,1,1,1,0,1,0,3,1,1,1,2,0,1,1,0,0,1,0,-9999,1,0,1,0,3,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
1,42.47487,-71.14927,"221 Main St, Woburn, MA 01801, USA",1801,MA,Middlesex County,Atlantic Ocean Seaboard,Charles,731190,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1,0,0,1,1,-9999,1,0,1,0,3,1,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
2,42.92366887,-77.31232452,"Historic District, 5450 Campus Dr, Canandaigua, NY 14424, USA",14424,NY,Ontario County,St Lawrence,Seneca,725540,0,0,1,1,-9999,1,0,1,0,3,1,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,-9999,1,0,1,0,3,1,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
3,40.28079562,-74.55414486,"210 Princeton Hightstown Rd, East Windsor, NJ 08520, USA",8520,NJ,Mercer County,"United States, North Atlantic Coast",Raritan,731504,3,1,1,0,1,0,0,1,0,4,0,0,0,3,1,0,1,3,3,0,2,2,0,1,0,3,1,0,1,2,3,1,2,3,2,1,2,2,1,1,0,1,0,1,0,3,1,1,1,2,1,1,1,0,0,1,1,-9999,1,0,1,0,3,1,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
4,37.49034602,-121.932559,"1055 Mission Ct, Fremont, CA 94539, USA",94539,CA,Alameda County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,0,0,1,1,-9999,1,0,1,0,3,1,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
5,42.53155238,-71.14668975,"1 Analog Wy, Wilmington, MA 01887, USA",1887,MA,Middlesex County,Atlantic Ocean Seaboard,Charles,731190,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1,0,0,1,1,-9999,1,0,1,0,3,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
6,45.59901064,-122.4520524,"4200 NW Pacific Rim Blvd, Camas, WA 98607, USA",98607,WA,Clark County,Columbia and Northwestern United States,Lower Columbia / Sandy,782300,0,0,0,0,-9999,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,-9999,0,0,2,0,3,0,0,0,0,1,1,0,1,2,1,1,0,0,1,0,0,1,1,0,1,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
7,37.42796098,-121.893751,"275 S Hillview Dr, Milpitas, CA 95035, USA",95035,CA,Santa Clara County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,3,1,1,0,-9999,1,0,2,0,3,0,0,0,3,1,1,1,3,2,1,2,2,0,1,1,3,1,1,1,2,2,1,1,3,1,1,2,2,1,1,1,1,0,1,0,3,1,1,1,2,0,1,1
8,45.548035,-122.930715,"3133 NE Brookwood Pkwy, Hillsboro, OR 97124, USA",97124,OR,Washington County,Columbia and Northwestern United States,Tualatin,782200,0,0,0,0,-9999,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,-9999,1,0,2,0,3,0,0,0,3,1,1,1,3,2,1,2,2,0,1,1,3,1,1,1,2,2,1,1,3,1,1,2,2,1,1,1,1,0,1,0,3,1,1,1,2,0,1,1
9,37.40991701,-121.947666,"3725 N First St, San Jose, CA 95134, USA",95134,CA,Santa Clara County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,3,1,1,0,-9999,1,0,2,0,3,0,0,0,3,1,1,1,3,2,1,2,2,0,1,1,3,1,1,1,2,2,1,1,3,1,1,2,2,1,1,1,1,0,1,0,3,1,1,1,2,0,1,1
