Company,City,State,Industry,Activity,Existing_Announced,Source
Auburn University,Auburn,AL,University R&D Partner,Research & Development,Existing Facility,
NVIDIA,Madison,AL,Fabless,Chip Design,Existing Facility,
Wolfspeed,Fayetteville,AR,IDM,"Manufacturing, Research & Development",Existing Facility,
Cleveland Electric Laboratories,Tempe,AZ,Materials,Manufacturing,Existing Facility,
Western Design Center,Mesa,AZ,Fabless,Chip Design,Existing Facility,
SUMCO,Phoenix,AZ,Materials,Manufacturing,Existing Facility,
Onto Innovation,Tucson,AZ,Equipment,"Manufacturing, Research & Development",Existing Facility,
Texas Instruments,Tucson,AZ,IDM,Chip Design,Existing Facility,
University of Arizona,Tucson,AZ,University R&D Partner,Research & Development,Existing Facility,
JX Nippon Mining & Metal,Mesa,AZ,Materials,Manufacturing,Announced New Project,Source
Air Liquide,Phoenix,AZ,Materials,Manufacturing,Announced New Project,Source
ASM,Phoenix,AZ,Equipment,Research & Development,Existing Facility,
ASM,Scottsdale,AZ,Equipment,Research & Development,Announced New Project,Source
Compound Photonics,Phoenix,AZ,IDM,Manufacturing,Existing Facility,
Lansdale,Phoenix,AZ,Foundry,Manufacturing,Existing Facility,
Linde,Phoenix,AZ,Materials,Manufacturing,Announced New Project,Source
onsemi,Phoenix,AZ,IDM,"Chip Design, Research & Development",Existing Facility,
Sunlit Chemical,Phoenix,AZ,Materials,Manufacturing,Announced New Project,Source
TSMC,Phoenix,AZ,Foundry,Manufacturing,Announced New Project,Source
Amkor,Tempe,AZ,OSAT,Research & Development,Existing Facility,
Amkor,Peoria,AZ,OSAT,Manufacturing,Announced New Project,Source
Applied Materials,Tempe,AZ,Equipment,Research & Development,Existing Facility,
Microchip Technology,Tempe,AZ,IDM,Manufacturing,Existing Facility,
Arizona State University,Tempe,AZ,University R&D Partner,Research & Development,Existing Facility,
LCY Chemical,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,Source
Solvay,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,Source
Intel,Chander,AZ,"Foundry, IDM","Manufacturing, Chip Design, Research & Development","Announced New Project, Existing Facility",Source
Analog Devices,Chandler,AZ,IDM,"Chip Design, Research & Development",Existing Facility,
arm,Chandler,AZ,IP & EDA,"Research & Development, IP & EDA",Existing Facility,
Edwards Vacuum,Chandler,AZ,Materials,Manufacturing,Announced New Project,Source
EMD,Chandler,AZ,Materials,Manufacturing,Announced New Project,Source
EMD,Tempe,AZ,Materials,"Manufacturing, Research & Development",Existing Facility,
Infineon Technologies,Chandler,AZ,IDM,Research & Development,Existing Facility,
Infineon Technologies,Mesa,AZ,IDM,Manufacturing,Existing Facility,
Marvell,Chandler,AZ,Fabless,"Chip Design, Research & Development",Existing Facility,
NXP,Chandler,AZ,IDM,"Manufacturing, Chip Design, Research & Development",Existing Facility,
Qorvo,Chandler,AZ,IDM,Chip Design,Existing Facility,
Yield Engineering Systems,Chandler,AZ,Equipment,Manufacturing,Announced New Project,Source
Cirrus Logic,Mesa,AZ,Fabless,"Chip Design, Research & Development",Existing Facility,
Fujifilm Electronic Materials,Mesa,AZ,Materials,"Manufacturing, Research & Development","Announced Expansion Project, Existing Facility",Source
Chang Chun Group,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,Source
Kanto/Chemtrade JV,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,Source
Bosch,Roseville,CA,IDM,Manufacturing,"Existing Facility, Announced Expansion Project",Source
Akash Systems,Oakland,CA,IDM,Manufacturing,Announced New Project,Source
Entegris,San Luis Obispo,CA,"Equipment, Materials","Manufacturing, Research & Development",Existing Facility,
Multibeam Corporation,Santa Clara,CA,Equipment,"Manufacturing, Research & Development",Existing Facility,
Lawrence Berkeley National Laboratory,Berkeley,CA,,Research & Development,Existing Facility,
Navitas,Torrance,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
Arteris IP,Campbell,CA,IP & EDA,IP & EDA,Existing Facility,
EUV Tech,Martinez,CA,Equipment,Manufacturing,Existing Facility,
Wacker Chemical,Chino,CA,Materials,Manufacturing,Existing Facility,
Diodes Incorporated,Milpitas,CA,IDM,"Chip Design, Research & Development",Existing Facility,
Vishay Intertechnology,Santa Clara,CA,Foundry,Manufacturing,Existing Facility,
Keysight Technologies,Santa Rosa,CA,"IP & EDA, IDM","Manufacturing, Research & Development, IP & EDA",Existing Facility,
Stanford University,Stanford,CA,University R&D Partner,Research & Development,Existing Facility,
Samsung,San Jose,CA,IDM,Research & Development,Existing Facility,
Silicon Labs,San Jose,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
SK hynix,San Jose,CA,IDM,Research & Development,Existing Facility,
"University of California, Santa Barbara",Santa Barbara,CA,University R&D Partner,Research & Development,Existing Facility,
Ampere,Santa Clara,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
GlobalFoundries,Santa Clara,CA,Foundry,"Chip Design, Research & Development",Existing Facility,
SiFive,Santa Clara,CA,"IP & EDA, Fabless","Chip Design, Research & Development, IP & EDA",Existing Facility,
Ansys,San Jose,CA,IP & EDA,"Research & Development, IP & EDA",Existing Facility,
Broadcom,San Jose,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
Cadence,San Jose,CA,IP & EDA,"Research & Development, IP & EDA",Existing Facility,
IBM,San Jose,CA,Fabless,Research & Development,Existing Facility,
Infinera,San Jose,CA,IDM,"Chip Design, Research & Development",Existing Facility,
Infinera,Sunnyvale,CA,IDM,"Manufacturing, Chip Design, Research & Development",Existing Facility,
Lattice Semiconductor,San Jose,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
MediaTek,San Jose,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
MediaTek,Irvine,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
MediaTek,San Diego,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
Northrup Grumman,Redondo Beach,CA,IDM,"Manufacturing, Chip Design",Existing Facility,
"California State University, Sacramento",Sacramento,CA,University R&D Partner,Research & Development,Existing Facility,
ASML,San Diego,CA,Equipment,"Manufacturing, Research & Development",Existing Facility,
ASML,San Jose,CA,Equipment,Research & Development,Existing Facility,
pSemi,San Diego,CA,IDM,"Manufacturing, Chip Design, Research & Development",Existing Facility,
pSemi,San Jose,CA,IDM,"Chip Design, Research & Development",Existing Facility,
Qualcomm,San Diego,CA,Fabless,"Chip Design, Research & Development",Existing Facility,
