Company,City,State,Industry,Activity,Existing_Announced,,Latitude,Longitude,Formatted Address,Zip Code,State,County
JX Nippon Mining & Metal,Mesa,AZ,Materials,Manufacturing,Announced New Project,,33.30353,-111.89262,"125 N Price Rd, Chandler, AZ 85224",85224,AZ,Maricopa County
Air Liquide,Phoenix,AZ,Materials,Manufacturing,Announced New Project,,33.44544,-112.15498,"301 S 45th Ave, Phoenix, AZ 85043",85043,AZ,Maricopa County
ASM,Scottsdale,AZ,Equipment,Research & Development,Announced New Project,,33.41817,-112.00676,"3440 E University Dr, Phoenix, AZ 85034",85034,AZ,Maricopa County
Linde,Phoenix,AZ,Materials,Manufacturing,Announced New Project,,33.46072,-111.97341,"1122 N 52nd St, Phoenix, AZ 85008",85008,AZ,Maricopa County
Sunlit Chemical,Phoenix,AZ,Materials,Manufacturing,Announced New Project,,33.7059,-112.08258,"N 7th Ave & W Alameda Rd, Phoenix, AZ 85085",85085,AZ,Maricopa County
TSMC,Phoenix,AZ,Foundry,Manufacturing,Announced New Project,,33.77598,-112.160488,"5088 W Innovation Circle, Phoenix, AZ 85085",85085,AZ,Maricopa County
Amkor,Peoria,AZ,OSAT,Manufacturing,Announced New Project,,33.33546,-111.89903,"2045 E Innovation Cir, Tempe, AZ 85284",85284,AZ,Maricopa County
LCY Chemical,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,,32.87109,-111.78809," 29 S Commerce Dr Casa Grande, AZ 85193",85193,AZ,Pinal County
Solvay,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,,32.872111,-111.791538,"W Ash Ave & S Burris Rd, Casa Grande, AZ 85193",85193,AZ,Pinal County
Intel,Chandler,AZ,"Foundry, IDM","Manufacturing, Chip Design, Research & Development","Announced New Project, Existing Facility",,33.24155,-111.88263,"4500 S Dobson Rd, Chandler, AZ 85248",85248,AZ,Maricopa County
Edwards Vacuum,Chandler,AZ,Materials,Manufacturing,Announced New Project,,33.280002,-111.801444,"2350 E Germann Rd Ste 30, Chandler, AZ 85286",85286,AZ,Maricopa County
EMD,Chandler,AZ,Materials,Manufacturing,Announced New Project,,33.27731,-111.81034,"1720 E Germann Rd, Chandler, AZ 85286",85286,AZ,Maricopa County
Yield Engineering Systems,Chandler,AZ,Equipment,Manufacturing,Announced New Project,,33.2768,-111.89241,"3200 W Germann Rd, Chandler, AZ 85286",85286,AZ,Maricopa County
Chang Chun Group,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,,32.893941,-111.791605,"W Clayton Rd & N Burris Rd, Casa Grande, AZ 85193",85193,AZ,Pinal County
Kanto/Chemtrade JV,Casa Grande,AZ,Materials,Manufacturing,Announced New Project,,32.868399,-111.79158,"S Burris Rd & AZ-84, Casa Grande, AZ 85193",85193,AZ,Pinal County
Akash Systems,Oakland,CA,IDM,Manufacturing,Announced New Project,,37.83485,-122.26771,"4629 Martin Luther King Jr Way, Oakland, CA 94609",94609,CA,Alameda County
Applied Materials,Sunnyvale,CA,Equipment,"Manufacturing, Research & Development","Announced New Project, Existing Facility",,37.377606,-121.978786,"3050 Bowers Ave, Santa Clara, CA 95054",95054,CA,Santa Clara County
Entegris,Colorado Springs,CO,Materials,Manufacturing,Announced New Project,,38.89357,-104.8633,"4405 ArrowsWest Dr, Colorado Springs, CO 80907",80907,CO,El Paso County
DuPont Semiconductor Technologies,Glasgow,DE,Materials,Manufacturing,Announced New Project,,39.64846,-75.73899,"361 Bellevue Rd, Newark, DE 19713",19713,DE,New Castle County
Rogue Valley Microdevices,Palm Bay,FL,Foundry,Manufacturing,Announced New Project,,28.05196,-80.60428,"2301 Commerce Park Dr NE, Palm Bay, FL 32905",32905,FL,Brevard County
Absolics,Covington,GA,Materials,Manufacturing,Announced New Project,,33.61801,-83.81109,"1 Skc Dr, Covington, GA 30014",30014,GA,Newton County
Micron,Boise,ID,IDM,"Manufacturing, Chip Design, Research & Development","Announced New Project, Existing Facility",,43.52911,-116.14889,"8000 S Federal Way, Boise, ID 83716",83716,ID,Ada County
Trusted Semiconductor Solutions,Odon,IN,IDM,Manufacturing,Announced New Project,,38.90181,-86.91263,"13598 E WestGate Drive, Odon, IN, United States, Indiana",47562,IN,Daviess County
Everspin Technologies,Odon,IN,IDM,Manufacturing,Announced New Project,,38.89847,-86.91122,"16630 Innovation Drive, Odon, Indiana 47562",47562,IN,Daviess County
NHanced Semiconductors,Odon,IN,IDM,Manufacturing,Announced New Project,,38.90206,-86.90508,"14590 Schonberger Drive, Odon, IN 47562",47562,IN,Daviess County
NHanced Semiconductors,Bloomington,IN,IDM,Manufacturing,Announced New Project,,39.20821,-86.5477,"1025 W Acuff Rd, Bloomington, IN 47404",47404,IN,Monroe County
Reliable Microsystems,Odon,IN,Fabless,Chip Design,Announced New Project,,38.89972,-86.90326,"14051 SGM Gene Shaw Tech Dr, Crane, IN 47522",47522,IN,Martin County
SkyWater Technology,West Lafayette,IN,Foundry,Manufacturing,Announced New Project,,40.46457,-86.92797,"1281 Win Hentschel Blvd, West Lafayette, IN 47906",47906,IN,Tippecanoe County
MediaTek,West Lafayette,IN,Fabless,"Chip Design, Research & Development",Announced New Project,,40.42364,-86.92781,"101 FOUNDRY DRIVE, WEST LAFAYETTEIN47906",47906,IN,Tippecanoe County
EMP Shield,Burlington,KS,IDM,Manufacturing,Announced New Project,,38.17865,-95.74203,"2010 S 6th St, Burlington, KS 66839",66839,KS,Coffey County
Integra Technologies,Wichita,KS,OSAT,Manufacturing,Announced New Project,,37.74588,-97.243,"3450 N Rock Rd, Wichita, KS 67226",67226,KS,Sedgwick County
Wolfspeed,Siler City,NC,IDM,Manufacturing,Announced New Project,,35.732861,-79.445641,"US-64 E, Siler City, NC 27344",27344,NC,Chatham County
