major_basin_name,minor_basin_name,facility_count
Atlantic Ocean Seaboard,Charles,13
Atlantic Ocean Seaboard,Merrimack / Concord,12
Atlantic Ocean Seaboard,Narragansett,2
Atlantic Ocean Seaboard,Presumpscot,2
Atlantic Ocean Seaboard,Quinebaug,1
California,Calleguas,3
California,Coyote,43
California,Los Angeles,6
California,Lower American,3
California,Newport Bay,2
California,Pajaro,1
California,Russian,1
California,San Francisco Bay,3
California,San Gabriel,1
California,San Luis Rey / Escondido,1
California,Santa Ana,1
California,Santa Barbara Coastal,5
California,Santa Margarita,1
California,Santa Monica Bay,2
California,Seal Beach,4
California,Suisun Bay,3
Columbia and Northwestern United States,Lower Boise,6
Columbia and Northwestern United States,Lower Columbia / Sandy,4
Columbia and Northwestern United States,Portneuf,1
Columbia and Northwestern United States,Tualatin,9
Columbia and Northwestern United States,Upper Deschutes,4
Columbia and Northwestern United States,Upper Willamette,2
Columbia and Northwestern United States,Upper and Middle Rouge,3
Great Basin,Jordan,4
Gulf Coast,Buffalo / San Jacinto,1
Gulf Coast,East Fork Trinity,10
Gulf Coast,Elm Fork Trinity,2
Gulf Coast,Lower Colorado,7
Gulf Coast,Medina / Upper San Antonio,1
Gulf Coast,San Gabriel,3
Gulf Coast,Upper Trinity,5
Gulf Coast,Yellow House Draw,1
"Gulf of Mexico, North Atlantic Coast",Cape Canaveral,3
"Gulf of Mexico, North Atlantic Coast",Chattahoochee,1
"Gulf of Mexico, North Atlantic Coast",Congaree,3
"Gulf of Mexico, North Atlantic Coast",Deep,3
"Gulf of Mexico, North Atlantic Coast",Haw,3
"Gulf of Mexico, North Atlantic Coast",Kissimmee,3
"Gulf of Mexico, North Atlantic Coast",Ocmulgee,2
"Gulf of Mexico, North Atlantic Coast",Tampa Bay,1
"Gulf of Mexico, North Atlantic Coast",Tibbee,1
"Gulf of Mexico, North Atlantic Coast",Upper Catawba,1
"Gulf of Mexico, North Atlantic Coast",Upper Neuse,7
"Gulf of Mexico, North Atlantic Coast",Upper Roanoke,1
"Gulf of Mexico, North Atlantic Coast",Upper St Johns,1
"Gulf of Mexico, North Atlantic Coast",Wateree,1
Mississippi - Missouri,Bois D Arc / Island,5
Mississippi - Missouri,Cache La Poudre,4
Mississippi - Missouri,Des Plaines,1
Mississippi - Missouri,Fountain,3
Mississippi - Missouri,Licking,1
Mississippi - Missouri,Little Arkansas,1
Mississippi - Missouri,Lower Cedar,2
Mississippi - Missouri,Lower Cumberland / Sycamore,1
Mississippi - Missouri,Lower Des Moines,1
Mississippi - Missouri,Lower Minnesota,10
Mississippi - Missouri,Lower Mississippi / Baton Rouge / Bayou Sara / Thompson,1
Mississippi - Missouri,Lower Missouri,1
Mississippi - Missouri,Lower Monongahela,2
Mississippi - Missouri,Lower White,4
Mississippi - Missouri,Middle Milk,3
Mississippi - Missouri,Middle Wabash / Little Vermilion,3
Mississippi - Missouri,Twin Cities,5
Mississippi - Missouri,Upper Neosho,1
Mississippi - Missouri,Upper Rock,2
Mississippi - Missouri,Upper Scioto,1
Mississippi - Missouri,Upper White,1
Mississippi - Missouri,Vermilion,3
Mississippi - Missouri,Wheeler Lake,1
Mississippi - Missouri,Youghiogheny,1
"North America, Colorado",Aqua Fria,2
"North America, Colorado",Lower Salt,10
"North America, Colorado",Lower Santa Cruz,4
"North America, Colorado",Middle Gila,15
"North America, Colorado",Upper Santa Cruz,1
Pacific and Arctic Coast,Lake Washington,2
Pacific and Arctic Coast,Puget Sound,1
RÃ­o Grande - Bravo,Grande / Albuquerque,4
St Lawrence,Genesee,1
St Lawrence,Huron,3
St Lawrence,Lower Maunee,1
St Lawrence,Niagara,1
St Lawrence,Seneca,6
St Lawrence,St Joseph,1
St Lawrence,Winooski,1
"United States, North Atlantic Coast",Bald Eagle,1
"United States, North Atlantic Coast",Brandywine / Christina,1
"United States, North Atlantic Coast",Gunpowder / Patapsco,2
"United States, North Atlantic Coast",Hackensack / Passaic,3
"United States, North Atlantic Coast",Hudson / Hoosic,1
"United States, North Atlantic Coast",Lehigh,2
"United States, North Atlantic Coast",Lower Hudson / Wappinger,4
"United States, North Atlantic Coast",Middle Hudson,8
"United States, North Atlantic Coast",Middle Potomac / Anacostia / Occoquan,5
"United States, North Atlantic Coast",Middle Potomac / Catoctin,2
"United States, North Atlantic Coast",Mohawk,5
"United States, North Atlantic Coast",Patuxent,1
"United States, North Atlantic Coast",Raritan,6
"United States, North Atlantic Coast",Southern Long Island,3
"United States, North Atlantic Coast",Upper Susquehanna / Tunkhannock / Lackawanna,1
