BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address
7083,0,73129,1912000,Medium-high (20-40%),High (40-80%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),21.77090172,8.954514199,1,48.66746763,2.236113089,"7 Rue Debussy, 91620 Nozay, France"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,2,24.77750974,121.000852,"No. 17, Park Ave 2nd Rd, East District, Hsinchu City, Taiwan 300"
9079,9007,17651,970000,Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),11.06341213,2.090041629,3,47.39533077,8.166240327,"Fabrikstrasse 3, 5600 Lenzburg, Switzerland"
3490,0,1098,282000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),2.642575971,0.096644886,4,23.140675,120.3042947,"741010, Taiwan, Tainan City, Shanhua District, å»ºæ¥­è·¯190å··36è™Ÿ"
9079,9007,17651,970000,Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),11.06341213,2.090041629,5,47.39533077,8.166240327,"Fabrikstrasse 3, 5600 Lenzburg, Switzerland"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,6,24.71097001,120.91375,"No. 13è™Ÿ, Kezhong Rd, Zhunan Township, Miaoli County, Taiwan 350"
9079,9007,17651,970000,Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),11.06341213,2.090041629,7,47.39533077,8.166240327,"Fabrikstrasse 3, 5600 Lenzburg, Switzerland"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,8,24.76840199,121.0274121,"No. 11è™Ÿ, Lixing Rd, East District, Hsinchu City, Taiwan 300"
3490,0,1098,282000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),2.642575971,0.096644886,9,23.10660002,120.28805,"No. 16, Dashun 9th Rd, Xinshi District, Tainan City, Taiwan 744"
3330,0,1240,274000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),2.817064479,0.123901762,10,35.7538557,139.933188,"562 Takatsuka Shinden, Matsudo, Chiba 270-2222, Japan"
3483,0,1799,308000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),2.906696941,0.159365507,11,24.22472,120.62889,"4æ¨“ No. 28è™Ÿ, ç§‘é›…è·¯å¤§é›…å€å°ä¸­å¸‚ Taiwan 428"
3330,0,1240,274000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),2.817064479,0.123901762,12,35.7538557,139.933188,"562 Takatsuka Shinden, Matsudo, Chiba 270-2222, Japan"
6964,0,22811,1376000,Low (<10%),Low (<10%),Low-medium (10-20%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),18.29194368,3.650596225,13,59.40472999,17.94943997,"Isafjordsgatan 22, 164 40 Kista, Sweden"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,14,24.76432475,121.0229655,"No. 21, Lixing Rd, East District, Hsinchu City, Taiwan 300"
3498,0,12510,1760000,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),16.49138806,1.098804314,15,23.11667,113.25,"China, Guang Dong Sheng, Guang Zhou Shi, Li Wan Qu, ä¸Šä¸‹ä¹åœ°åŒºå¾·æ˜Ÿè·¯66å· é‚®æ”¿ç¼–ç : 510123"
7329,0,1097,438000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),6.074896595,0.170245133,16,58.59016,16.17662998,"Bredgatan 34, 602 21 NorrkÃ¶ping, Sweden"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,17,24.77880999,121.00256,"No. 18, Yanfa 2nd Rd, East District, Hsinchu City, Taiwan 300"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,18,24.71094,120.91285,"No. 12, Kexi 1st Rd, Zhunan Township, Miaoli County, Taiwan 350"
11803,11794,21828,0,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),17.54650402,2.404468305,19,42.271105,-83.73451,"908 Church St, Ann Arbor, MI 48104, USA"
3267,0,5110,632000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),6.243922925,0.507666144,20,34.68105516,137.7827384,"66 Higashimachi, ChÅ«Å-ku, Hamamatsu, Shizuoka 430-0822, Japan"
10067,0,5528,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),18.04798877,0.602079285,21,42.47487,-71.14927,"221 Main St, Woburn, MA 01801, USA"
3568,0,2527,734000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),6.928823121,0.224929496,22,24.47979,118.08187,"2 Feng Huang Xi Li, Si Ming Qu, Xia Men Shi, Fu Jian Sheng, China, 361012"
3261,0,15472,1128000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),11.40136679,1.554271038,23,36.05340166,140.1188387,"Japan, ã€’305-0053 Ibaraki, Tsukuba, Onogawa, ï¼‘ï¼–âˆ’ï¼‘"
3615,0,3976,426000,Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),4.010044382,0.353793118,24,24.77434137,121.047969,"Gongyanyuandong Station, Zhudong Township, Hsinchu County, Taiwan 310"
