BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address,Zip Code,County,State
10768,0,10386,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),5.675931607,0.971609493,43,29.64383901,-95.56869201,"12200 Parc Crest Dr #200, Stafford, TX 77477  ",77477,Fort Bend County,TX
12157,0,46536,0,High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),20.39744901,4.451026059,68,33.10162,-96.67449,"501 W McDermott Dr, Allen, TX 75013  ",75013,Collin County,TX
11637,11635,21664,0,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),14.22542349,2.116871568,75,33.55636246,-96.60825856,"6800 US-75, Sherman, TX 75090  ",75090,Grayson County,TX
11688,11682,35566,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),20.41449622,3.48185817,112,33.396019,-111.973372,"2315 W Fairmont Dr, Tempe, AZ 85282  ",85282,Maricopa County,AZ
12157,0,46536,0,High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),20.39744901,4.451026059,163,32.95948198,-96.71139503,"830 E Arapaho Rd, Richardson, TX 75081  ",75081,Dallas County,TX
11688,11682,35566,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),20.41449622,3.48185817,188,33.382946,-111.843676,"550 W Juanita Ave, Mesa, AZ 85210  ",85210,Maricopa County,AZ
11610,0,15172,0,Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),13.24637217,1.418615807,189,30.21740501,-97.72413303,"5202 E Ben White Blvd, Austin, TX 78741  ",78741,Travis County,TX
11688,11682,35566,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),20.41449622,3.48185817,323,33.417289,-111.972104,"2343 W Medtronic Way, Tempe, AZ 85281  ",85281,Maricopa County,AZ
12177,12158,14528,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),8.849037964,1.440615516,331,35.22947801,-106.657338,"4101 Sara Rd, Rio Rancho, NM 87124  ",87124,Sandoval County,NM
11720,11699,7342,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),5.333755115,0.708787047,334,33.24046198,-111.881664,"4500 S Dobson Rd, Chandler, AZ 85248  ",85248,Maricopa County,AZ
